job_title,top_salary_in_usd,experience_level,company_location
"Principal Data Engineer",600000,EX,US
"Research Scientist",450000,MI,US
"Financial Data Analyst",450000,MI,US
"Applied Machine Learning Scientist",423000,MI,US
"Principal Data Scientist",416000,EX,US
"Data Scientist",412000,SE,US
"Data Analytics Lead",405000,SE,US
"Applied Data Scientist",380000,SE,US
"Director of Data Science",325000,EX,US
"Data Engineer",324000,EX,US
"Lead Data Engineer",276000,SE,US
"ML Engineer",270000,MI,US
"Data Architect",266400,SE,US
"Machine Learning Scientist",260000,SE,JP
"Machine Learning Engineer",250000,EN,US
"Data Science Manager",241000,MI,US
"Head of Data",235000,EX,US
"Head of Data Science",224000,EX,US
"Analytics Engineer",205300,SE,US
"Data Analyst",200000,SE,US
"Director of Data Engineering",200000,SE,US
"AI Scientist",200000,MI,US
"Machine Learning Infrastructure Engineer",195000,SE,US
"Lead Data Scientist",190000,SE,US
"Data Engineering Manager",174000,SE,US
"Lead Data Analyst",170000,SE,US
"Principal Data Analyst",170000,SE,US
"Data Specialist",165000,SE,US
"Cloud Data Engineer",160000,SE,US
"Data Analytics Manager",150260,SE,US
"BI Data Analyst",150000,EX,US
"Computer Vision Software Engineer",150000,EN,AU
"Business Data Analyst",135000,MI,US
"Data Science Engineer",127221,SE,CA
"Computer Vision Engineer",125000,EN,US
"Machine Learning Manager",117104,SE,CA
"Big Data Engineer",114047,SE,GB
"Data Analytics Engineer",110000,MI,US
"Staff Data Scientist",105000,SE,US
"Data Science Consultant",103000,MI,US
"Machine Learning Developer",100000,EN,IQ
"Big Data Architect",99703,SE,CA
"Marketing Data Analyst",88654,SE,DK
"Lead Machine Learning Engineer",87932,SE,DE
"Head of Machine Learning",79039,EX,IN
"Finance Data Analyst",61896,SE,GB
"ETL Developer",54957,MI,GR
"NLP Engineer",37236,MI,US
"Product Data Analyst",20000,MI,HN
"3D Computer Vision Researcher",5409,MI,IN
