job_title,professionals,total_salary_in_usd
Total,607,68164807
"Data Scientist",143,15470860
"Data Engineer",132,14879700
"Data Analyst",97,9010627
"Machine Learning Engineer",41,4300086
"Data Architect",11,1956613
"Data Science Manager",12,1899942
"Research Scientist",16,1744312
"Principal Data Scientist",7,1506697
"Director of Data Science",7,1365518
"Machine Learning Scientist",8,1267300
"Principal Data Engineer",3,985000
"Data Analytics Manager",7,889940
"Applied Data Scientist",5,878275
"Lead Data Engineer",6,838347
"Head of Data",5,800813
"ML Engineer",6,705024
"Analytics Engineer",4,700000
"Data Engineering Manager",5,616136
"Head of Data Science",4,586875
"Applied Machine Learning Scientist",4,568275
"Financial Data Analyst",2,550000
"Data Science Consultant",7,485945
"AI Scientist",7,462949
"BI Data Analyst",6,448531
"Big Data Engineer",8,415792
"Data Analytics Lead",1,405000
"Business Data Analyst",5,383456
"Lead Data Scientist",3,345570
"Computer Vision Software Engineer",3,315746
"Director of Data Engineering",2,313476
"Machine Learning Infrastructure Engineer",3,303435
"Lead Data Analyst",3,276609
"Computer Vision Engineer",6,266516
"Data Analytics Engineer",4,259197
"Machine Learning Developer",3,257582
"Cloud Data Engineer",2,249294
"Principal Data Analyst",2,245000
"Data Science Engineer",3,227410
"Data Specialist",1,165000
"Machine Learning Manager",1,117104
"ETL Developer",2,109914
"Staff Data Scientist",1,105000
"Big Data Architect",1,99703
"Marketing Data Analyst",1,88654
"Lead Machine Learning Engineer",1,87932
"Head of Machine Learning",1,79039
"Finance Data Analyst",1,61896
"NLP Engineer",1,37236
"Product Data Analyst",2,26072
"3D Computer Vision Researcher",1,5409
